impd,date,year,gear,spp,tl,aged,age
JWSL,9/19/2018,2018,EF,Redear Sunfish,115,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,117,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,117,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,124,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,128,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,128,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,128,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,129,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,130,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,132,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,132,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,136,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,137,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,141,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,144,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,144,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,147,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,150,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,150,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,150,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,151,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,156,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,158,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,161,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,162,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,162,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,179,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,182,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,183,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,189,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,192,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,198,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,198,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,200,0,
JWSL,9/19/2018,2018,EF,Redear Sunfish,201,0,
